src,des,size,timestamp
172.16.1.15,112.48.151.253,88,1590028020.127410
172.16.1.15,112.48.151.253,88,1590028020.160840
172.16.1.15,106.11.93.24,268,1590028020.229020
106.11.93.24,172.16.1.15,148,1590028020.327820
172.16.1.15,112.48.151.253,192,1590028020.377630
112.48.151.253,172.16.1.15,148,1590028020.393170
106.11.93.24,172.16.1.15,1568,1590028020.428870
172.16.1.15,106.11.93.24,96,1590028020.459780
106.11.93.24,172.16.1.15,1568,1590028020.561440
172.16.1.15,106.11.93.24,96,1590028020.593320
106.11.93.24,172.16.1.15,536,1590028020.129843
172.16.1.15,106.11.93.24,96,1590028020.132720
112.48.151.253,172.16.1.15,876,1590028020.135887
172.16.1.15,112.48.151.253,88,1590028020.136451
172.16.1.15,112.48.151.253,192,1590028020.139281
112.48.151.253,172.16.1.15,148,1590028020.139405
172.16.1.15,112.48.151.253,192,1590028020.139785
112.48.151.253,172.16.1.15,148,1590028020.139827
112.48.151.253,172.16.1.15,876,1590028020.139909
112.48.151.253,172.16.1.15,1568,1590028020.144758
172.16.1.15,112.48.151.253,88,1590028020.144788
112.48.151.253,172.16.1.15,1568,1590028020.144801
112.48.151.253,172.16.1.15,220,1590028020.144822
172.16.1.15,112.48.151.253,88,1590028020.144837
112.48.151.253,172.16.1.15,172,1590028020.144849
172.16.1.15,112.48.151.253,192,1590028020.318310
112.48.151.253,172.16.1.15,148,1590028020.318389
112.48.151.253,172.16.1.15,1148,1590028020.318405
172.16.1.15,112.48.151.253,192,1590028020.318423
112.48.151.253,172.16.1.15,148,1590028020.318436
112.48.151.253,172.16.1.15,908,1590028020.318449
172.16.1.15,112.48.151.253,192,1590028020.318510
112.48.151.253,172.16.1.15,148,1590028020.318597
172.16.1.15,112.48.151.253,192,1590028020.318883
112.48.151.253,172.16.1.15,148,1590028020.318918
112.48.151.253,172.16.1.15,1060,1590028020.402832
112.48.151.253,172.16.1.15,172,1590028020.402866
172.16.1.15,112.48.151.253,88,1590028020.402883
112.48.151.253,172.16.1.15,1028,1590028020.402896
112.48.151.253,172.16.1.15,172,1590028020.402910
172.16.1.15,112.48.151.253,88,1590028020.402924
172.16.1.15,112.48.151.253,192,1590028020.402937
112.48.151.253,172.16.1.15,148,1590028020.402984
172.16.1.15,203.119.211.219,116,1590028020.402998
112.48.151.253,172.16.1.15,1052,1590028020.458520
172.16.1.15,112.48.151.253,192,1590028020.458777
112.48.151.253,172.16.1.15,148,1590028020.458790
203.119.211.219,172.16.1.15,152,1590028020.458802
172.16.1.15,203.119.211.219,96,1590028020.460679
172.16.1.15,203.119.211.219,720,1590028020.460695
203.119.211.219,172.16.1.15,148,1590028020.460708
112.48.151.253,172.16.1.15,1484,1590028020.506099
172.16.1.15,112.48.151.253,192,1590028020.506157
112.48.151.253,172.16.1.15,148,1590028020.506173
112.48.151.253,172.16.1.15,1244,1590028020.506187
203.119.211.219,172.16.1.15,1568,1590028020.558326
172.16.1.15,203.119.211.219,96,1590028020.558361
203.119.211.219,172.16.1.15,168,1590028020.558375
172.16.1.15,203.119.211.219,96,1590028020.558390
203.119.211.219,172.16.1.15,248,1590028020.558402
172.16.1.15,203.119.211.219,96,1590028020.558415
203.119.211.219,172.16.1.15,148,1590028020.558426
172.16.1.15,203.119.211.219,96,1590028020.558438
203.119.211.219,172.16.1.15,132,1590028020.558450
172.16.1.15,112.48.151.253,192,1590028020.558463
112.48.151.253,172.16.1.15,148,1590028020.558475
112.48.151.253,172.16.1.15,1568,1590028020.592482
112.48.151.253,172.16.1.15,1440,1590028020.592567
172.16.1.15,112.48.151.253,88,1590028020.592584
172.16.1.15,106.11.93.24,224,1590028020.592597
106.11.93.24,172.16.1.15,148,1590028020.592609
172.16.1.15,112.48.151.253,192,1590028020.592622
112.48.151.253,172.16.1.15,148,1590028020.676007
106.11.93.24,172.16.1.15,200,1590028020.676116
172.16.1.15,106.11.93.24,96,1590028020.676144
112.48.151.253,172.16.1.15,1484,1590028020.676158
172.16.1.15,106.11.93.24,456,1590028020.676173
172.16.1.15,106.11.93.24,2960,1590028020.676189
172.16.1.15,106.11.93.24,2960,1590028020.676800
172.16.1.15,106.11.93.24,1528,1590028020.683743
172.16.1.15,112.48.151.253,88,1590028020.683797
106.11.93.24,172.16.1.15,148,1590028020.684017
106.11.93.24,172.16.1.15,148,1590028020.684036
106.11.93.24,172.16.1.15,148,1590028020.684053
106.11.93.24,172.16.1.15,148,1590028020.684069
106.11.93.24,172.16.1.15,148,1590028020.684085
172.16.1.15,106.11.93.24,1160,1590028020.684105
172.16.1.15,106.11.93.24,2960,1590028020.684138
172.16.1.15,106.11.93.24,2960,1590028020.684178
172.16.1.15,106.11.93.24,1528,1590028020.684202
172.16.1.15,106.11.93.24,2960,1590028020.684230
172.16.1.15,106.11.93.24,2960,1590028020.684264
106.11.93.24,172.16.1.15,148,1590028020.684297
106.11.93.24,172.16.1.15,148,1590028020.684310
172.16.1.15,106.11.93.24,148,1590028020.684322
106.11.93.24,172.16.1.15,148,1590028020.684345
106.11.93.24,172.16.1.15,148,1590028020.684357
106.11.93.24,172.16.1.15,148,1590028020.812707
106.11.93.24,172.16.1.15,148,1590028020.812807
106.11.93.24,172.16.1.15,148,1590028020.812827
106.11.93.24,172.16.1.15,148,1590028020.812854
106.11.93.24,172.16.1.15,148,1590028020.812867
106.11.93.24,172.16.1.15,148,1590028020.812880
106.11.93.24,172.16.1.15,148,1590028020.812893
106.11.93.24,172.16.1.15,148,1590028020.812906
172.16.1.15,112.48.151.253,192,1590028020.812919
112.48.151.253,172.16.1.15,148,1590028020.812932
106.11.93.24,172.16.1.15,312,1590028020.812945
172.16.1.15,106.11.93.24,96,1590028020.812958
112.48.151.253,172.16.1.15,1084,1590028020.812971
172.16.1.15,112.48.151.253,88,1590028020.812999
172.16.1.15,112.48.151.253,192,1590028020.813012
112.48.151.253,172.16.1.15,148,1590028020.813025
112.48.151.253,172.16.1.15,1228,1590028020.949516
172.16.1.15,112.48.151.253,88,1590028020.949595
172.16.1.15,112.48.151.253,192,1590028020.949611
112.48.151.253,172.16.1.15,148,1590028020.949625
112.48.151.253,172.16.1.15,1132,1590028020.949638
172.16.1.15,112.48.151.253,88,1590028020.949653
172.16.1.15,112.48.151.253,192,1590028020.949667
112.48.151.253,172.16.1.15,148,1590028020.949694
172.16.1.15,112.48.151.253,192,1590028020.949746
112.48.151.253,172.16.1.15,148,1590028020.949759
112.48.151.253,172.16.1.15,1568,1590028021.303377
112.48.151.253,172.16.1.15,384,1590028021.303410
172.16.1.15,112.48.151.253,88,1590028021.303423
112.48.151.253,172.16.1.15,700,1590028021.303449
172.16.1.15,112.48.151.253,88,1590028021.303488
172.16.1.15,112.48.151.253,192,1590028021.303500
112.48.151.253,172.16.1.15,148,1590028021.303512
112.48.151.253,172.16.1.15,988,1590028021.359014
172.16.1.15,112.48.151.253,88,1590028021.362581
172.16.1.15,112.48.151.253,192,1590028021.369227
112.48.151.253,172.16.1.15,148,1590028021.375973
112.48.151.253,172.16.1.15,1568,1590028021.382573
112.48.151.253,172.16.1.15,1568,1590028021.385907
172.16.1.15,112.48.151.253,88,1590028021.400627
112.48.151.253,172.16.1.15,1568,1590028021.405877
112.48.151.253,172.16.1.15,1568,1590028021.412891
172.16.1.15,112.48.151.253,88,1590028021.419224
112.48.151.253,172.16.1.15,1316,1590028021.425885
112.48.151.253,172.16.1.15,1176,1590028021.948544
172.16.1.15,112.48.151.253,88,1590028021.949259
172.16.1.15,112.48.151.253,192,1590028021.952568
112.48.151.253,172.16.1.15,148,1590028021.955900
112.48.151.253,172.16.1.15,972,1590028021.959229
172.16.1.15,112.48.151.253,88,1590028021.962544
172.16.1.15,112.48.151.253,192,1590028021.965885
112.48.151.253,172.16.1.15,148,1590028021.969264
112.48.151.253,172.16.1.15,892,1590028022.543413
172.16.1.15,112.48.151.253,88,1590028022.545931
172.16.1.15,112.48.151.253,192,1590028022.549204
112.48.151.253,172.16.1.15,148,1590028022.552613
112.48.151.253,172.16.1.15,892,1590028022.556005
172.16.1.15,112.48.151.253,88,1590028022.559231
172.16.1.15,120.206.177.252,208,1590028022.562558
172.16.1.15,112.48.151.253,192,1590028022.565966
120.206.177.252,172.16.1.15,148,1590028022.569548
112.48.151.253,172.16.1.15,148,1590028022.573781
120.206.177.252,172.16.1.15,1568,1590028022.575972
172.16.1.15,120.206.177.252,88,1590028022.582826
120.206.177.252,172.16.1.15,720,1590028022.582882
172.16.1.15,120.206.177.252,88,1590028022.582898
112.48.151.253,172.16.1.15,1568,1590028022.582914
172.16.1.15,112.48.151.253,88,1590028022.582927
112.48.151.253,172.16.1.15,1568,1590028022.582940
172.16.1.15,112.48.151.253,88,1590028022.582975
112.48.151.253,172.16.1.15,1568,1590028022.583047
172.16.1.15,112.48.151.253,88,1590028022.583076
112.48.151.253,172.16.1.15,1364,1590028022.583349
172.16.1.15,112.48.151.253,88,1590028022.583362
112.48.151.253,172.16.1.15,1568,1590028022.583392
172.16.1.15,112.48.151.253,88,1590028022.583413
112.48.151.253,172.16.1.15,1568,1590028022.583425
172.16.1.15,112.48.151.253,88,1590028022.583440
112.48.151.253,172.16.1.15,1568,1590028022.583453
172.16.1.15,112.48.151.253,88,1590028022.583472
112.48.151.253,172.16.1.15,1568,1590028022.583484
172.16.1.15,112.48.151.253,88,1590028022.583513
112.48.151.253,172.16.1.15,1568,1590028022.583529
172.16.1.15,112.48.151.253,88,1590028022.583622
112.48.151.253,172.16.1.15,1568,1590028022.583678
172.16.1.15,112.48.151.253,88,1590028022.583707
112.48.151.253,172.16.1.15,1568,1590028022.583751
172.16.1.15,112.48.151.253,88,1590028022.583764
112.48.151.253,172.16.1.15,1568,1590028022.583776
172.16.1.15,112.48.151.253,88,1590028022.583841
112.48.151.253,172.16.1.15,388,1590028022.583942
172.16.1.15,112.48.151.253,88,1590028022.583973
112.48.151.253,172.16.1.15,1568,1590028022.583989
172.16.1.15,112.48.151.253,88,1590028022.584068
112.48.151.253,172.16.1.15,1568,1590028022.584081
112.48.151.253,172.16.1.15,1568,1590028022.584143
172.16.1.15,112.48.151.253,88,1590028022.584156
112.48.151.253,172.16.1.15,1568,1590028022.584216
112.48.151.253,172.16.1.15,1568,1590028022.584386
172.16.1.15,112.48.151.253,88,1590028022.584401
112.48.151.253,172.16.1.15,300,1590028022.584446
112.48.151.253,172.16.1.15,1568,1590028022.584479
172.16.1.15,112.48.151.253,88,1590028022.584509
112.48.151.253,172.16.1.15,1568,1590028022.584526
112.48.151.253,172.16.1.15,1568,1590028022.585267
172.16.1.15,112.48.151.253,88,1590028022.585451
112.48.151.253,172.16.1.15,1568,1590028022.585484
112.48.151.253,172.16.1.15,1568,1590028022.585520
172.16.1.15,112.48.151.253,88,1590028022.585624
112.48.151.253,172.16.1.15,1568,1590028022.585638
112.48.151.253,172.16.1.15,1568,1590028022.585676
172.16.1.15,112.48.151.253,88,1590028022.585711
112.48.151.253,172.16.1.15,1568,1590028022.585728
112.48.151.253,172.16.1.15,1568,1590028022.585759
172.16.1.15,112.48.151.253,88,1590028022.585920
112.48.151.253,172.16.1.15,1568,1590028022.585935
112.48.151.253,172.16.1.15,1568,1590028022.585948
172.16.1.15,112.48.151.253,88,1590028022.585977
112.48.151.253,172.16.1.15,480,1590028022.586003
112.48.151.253,172.16.1.15,1568,1590028022.586041
172.16.1.15,112.48.151.253,88,1590028022.586245
112.48.151.253,172.16.1.15,1568,1590028022.586259
112.48.151.253,172.16.1.15,208,1590028022.586371
172.16.1.15,112.48.151.253,88,1590028022.586387
112.48.151.253,172.16.1.15,1568,1590028022.586417
112.48.151.253,172.16.1.15,1568,1590028022.586455
172.16.1.15,112.48.151.253,88,1590028022.586472
112.48.151.253,172.16.1.15,1568,1590028022.586503
112.48.151.253,172.16.1.15,1568,1590028022.586594
172.16.1.15,112.48.151.253,88,1590028022.586623
112.48.151.253,172.16.1.15,1568,1590028022.586642
112.48.151.253,172.16.1.15,1568,1590028022.586671
172.16.1.15,112.48.151.253,88,1590028022.586768
112.48.151.253,172.16.1.15,1568,1590028022.586798
112.48.151.253,172.16.1.15,1568,1590028022.587020
172.16.1.15,112.48.151.253,88,1590028022.587136
112.48.151.253,172.16.1.15,1568,1590028022.587151
112.48.151.253,172.16.1.15,1568,1590028022.587227
172.16.1.15,112.48.151.253,88,1590028022.587260
112.48.151.253,172.16.1.15,1568,1590028022.587325
112.48.151.253,172.16.1.15,1568,1590028022.587364
172.16.1.15,112.48.151.253,88,1590028022.587394
112.48.151.253,172.16.1.15,996,1590028022.852785
172.16.1.15,112.48.151.253,88,1590028022.855998
172.16.1.15,39.156.81.172,428,1590028022.859250
39.156.81.172,172.16.1.15,148,1590028022.867298
172.16.1.15,39.156.81.172,396,1590028022.869260
39.156.81.172,172.16.1.15,148,1590028022.876652
39.156.81.172,172.16.1.15,1568,1590028022.880930
39.156.81.172,172.16.1.15,1448,1590028022.884857
172.16.1.15,39.156.81.172,96,1590028022.899245
172.16.1.15,39.156.81.172,96,1590028022.902601
39.156.81.172,172.16.1.15,1568,1590028022.906039
39.156.81.172,172.16.1.15,1568,1590028022.909358
39.156.81.172,172.16.1.15,1568,1590028023.548150
39.156.81.172,172.16.1.15,188,1590028023.548620
172.16.1.15,39.156.81.172,96,1590028023.548770
172.16.1.15,39.156.81.172,96,1590028023.548900
172.16.1.15,39.156.81.172,96,1590028023.549020
172.16.1.15,39.156.81.172,96,1590028023.549140
172.16.1.15,112.48.151.253,192,1590028023.549260
112.48.151.253,172.16.1.15,148,1590028023.549380
112.48.151.253,172.16.1.15,1196,1590028023.549510
172.16.1.15,112.48.151.253,88,1590028023.967562
172.16.1.15,112.48.151.253,192,1590028023.967598
112.48.151.253,172.16.1.15,148,1590028023.967613
112.48.151.253,172.16.1.15,892,1590028023.967627
172.16.1.15,112.48.151.253,88,1590028023.967655
172.16.1.15,112.48.151.253,192,1590028023.967669
112.48.151.253,172.16.1.15,148,1590028023.967692
172.16.1.15,112.48.151.253,192,1590028023.967716
112.48.151.253,172.16.1.15,148,1590028023.967731
112.48.151.253,172.16.1.15,1568,1590028023.967744
172.16.1.15,112.48.151.253,88,1590028024.140499
112.48.151.253,172.16.1.15,548,1590028024.140547
172.16.1.15,112.48.151.253,88,1590028024.140561
112.48.151.253,172.16.1.15,756,1590028024.140573
172.16.1.15,112.48.151.253,88,1590028024.140594
112.48.151.253,172.16.1.15,924,1590028024.140608
172.16.1.15,112.48.151.253,88,1590028024.140641
172.16.1.15,47.102.83.88,528,1590028024.140669
47.102.83.88,172.16.1.15,148,1590028024.140681
47.102.83.88,172.16.1.15,1372,1590028024.736874
172.16.1.15,47.102.83.88,88,1590028024.752668
172.16.1.15,112.48.151.253,192,1590028024.755990
112.48.151.253,172.16.1.15,148,1590028024.761669
112.48.151.253,172.16.1.15,1532,1590028024.766234
172.16.1.15,112.48.151.253,88,1590028024.806033
172.16.1.15,112.48.151.253,224,1590028024.819211
112.48.151.253,172.16.1.15,148,1590028024.892765
112.48.151.253,172.16.1.15,1188,1590028024.899311
172.16.1.15,112.48.151.253,88,1590028024.902653
112.48.151.253,172.16.1.15,460,1590028024.921826
172.16.1.15,112.48.151.253,88,1590028024.922200
172.16.1.15,112.48.151.253,192,1590028024.922218
112.48.151.253,172.16.1.15,148,1590028024.922251
112.48.151.253,172.16.1.15,1468,1590028025.367680
172.16.1.15,112.48.151.253,88,1590028025.369602
172.16.1.15,112.48.151.253,192,1590028025.372586
112.48.151.253,172.16.1.15,148,1590028025.380193
172.16.1.15,112.48.151.253,192,1590028025.382730
112.48.151.253,172.16.1.15,148,1590028025.386111
112.48.151.253,172.16.1.15,924,1590028025.389219
172.16.1.15,112.48.151.253,88,1590028025.394912
112.48.151.253,172.16.1.15,1244,1590028025.650389
172.16.1.15,112.48.151.253,88,1590028025.662749
172.16.1.15,203.119.144.29,2848,1590028025.708205
203.119.144.29,172.16.1.15,148,1590028025.714506
203.119.144.29,172.16.1.15,148,1590028025.722522
172.16.1.15,112.48.151.253,192,1590028025.729349
112.48.151.253,172.16.1.15,148,1590028025.746215
203.119.144.29,172.16.1.15,356,1590028025.756007
172.16.1.15,203.119.144.29,88,1590028025.762560
203.119.144.29,172.16.1.15,1568,1590028025.769503
172.16.1.15,203.119.144.29,88,1590028025.775937
203.119.144.29,172.16.1.15,1104,1590028025.785875
172.16.1.15,203.119.144.29,88,1590028025.792674
