src,des,size,timestamp
172.16.1.15,111.48.30.62,116,1590028017.776069
111.48.30.62,172.16.1.15,152,1590028017.779240
172.16.1.15,111.48.30.62,96,1590028017.785955
172.16.1.15,111.48.30.62,276,1590028017.789537
111.48.30.62,172.16.1.15,148,1590028017.805335
172.16.1.15,117.169.84.253,224,1590028017.805886
117.169.84.253,172.16.1.15,148,1590028017.809234
111.48.30.62,172.16.1.15,1568,1590028017.812648
172.16.1.15,111.48.30.62,96,1590028017.823341
111.48.30.62,172.16.1.15,180,1590028017.826008
172.16.1.15,111.48.30.62,96,1590028017.829775
111.48.30.62,172.16.1.15,1568,1590028017.835917
172.16.1.15,111.48.30.62,96,1590028017.839268
111.48.30.62,172.16.1.15,180,1590028017.842959
172.16.1.15,111.48.30.62,96,1590028017.849364
111.48.30.62,172.16.1.15,624,1590028017.853174
172.16.1.15,111.48.30.62,96,1590028017.867848
117.169.84.253,172.16.1.15,1568,1590028017.873141
172.16.1.15,117.169.84.253,88,1590028017.876026
117.169.84.253,172.16.1.15,1352,1590028017.879449
172.16.1.15,117.169.84.253,88,1590028017.884687
117.169.84.253,172.16.1.15,1568,1590028017.886043
172.16.1.15,117.169.84.253,88,1590028017.895971
117.169.84.253,172.16.1.15,1376,1590028017.929573
172.16.1.15,117.169.84.253,88,1590028017.936403
172.16.1.15,112.48.151.253,192,1590028017.945868
112.48.151.253,172.16.1.15,148,1590028017.949287
172.16.1.15,112.48.151.253,192,1590028017.955893
112.48.151.253,172.16.1.15,148,1590028017.962592
172.16.1.15,111.48.30.62,224,1590028017.965918
111.48.30.62,172.16.1.15,148,1590028017.969535
112.48.151.253,172.16.1.15,980,1590028017.973828
172.16.1.15,112.48.151.253,88,1590028017.982560
112.48.151.253,172.16.1.15,172,1590028017.985929
172.16.1.15,112.48.151.253,88,1590028017.989265
112.48.151.253,172.16.1.15,940,1590028017.992650
172.16.1.15,112.48.151.253,88,1590028017.996032
111.48.30.62,172.16.1.15,408,1590028017.999556
172.16.1.15,111.48.30.62,96,1590028018.261200
172.16.1.15,111.48.30.62,400,1590028018.604800
111.48.30.62,172.16.1.15,148,1590028018.129820
111.48.30.62,172.16.1.15,1568,1590028018.162490
111.48.30.62,172.16.1.15,180,1590028018.230520
172.16.1.15,111.48.30.62,96,1590028018.259770
111.48.30.62,172.16.1.15,1568,1590028018.295940
111.48.30.62,172.16.1.15,1568,1590028018.325620
172.16.1.15,112.48.151.253,272,1590028018.359390
111.48.30.62,172.16.1.15,1568,1590028018.426920
111.48.30.62,172.16.1.15,1568,1590028018.504020
111.48.30.62,172.16.1.15,1568,1590028018.530460
111.48.30.62,172.16.1.15,1568,1590028018.594390
111.48.30.62,172.16.1.15,800,1590028018.626030
172.16.1.15,111.48.30.62,96,1590028018.659300
112.48.151.253,172.16.1.15,148,1590028018.692920
172.16.1.15,117.169.15.124,128,1590028018.736000
172.16.1.15,117.169.15.124,96,1590028018.759950
117.169.15.124,172.16.1.15,132,1590028018.804810
117.169.15.124,172.16.1.15,132,1590028018.861310
117.169.15.124,172.16.1.15,132,1590028018.928790
172.16.1.15,117.169.15.124,72,1590028018.959190
112.48.151.253,172.16.1.15,1568,1590028018.995950
112.48.151.253,172.16.1.15,1528,1590028018.102603
172.16.1.15,112.48.151.253,88,1590028018.106395
172.16.1.15,112.48.151.253,192,1590028018.109383
112.48.151.253,172.16.1.15,148,1590028018.113288
172.16.1.15,112.48.151.253,192,1590028018.115908
112.48.151.253,172.16.1.15,148,1590028018.119230
112.48.151.253,172.16.1.15,1004,1590028018.126285
112.48.151.253,172.16.1.15,1568,1590028018.136295
172.16.1.15,112.48.151.253,88,1590028018.139255
112.48.151.253,172.16.1.15,1080,1590028018.151946
112.48.151.253,172.16.1.15,172,1590028018.154147
172.16.1.15,112.48.151.253,88,1590028018.155956
172.16.1.15,120.206.177.252,224,1590028018.157022
120.206.177.252,172.16.1.15,148,1590028018.157584
172.16.1.15,112.48.151.253,192,1590028018.158006
112.48.151.253,172.16.1.15,148,1590028018.158073
120.206.177.252,172.16.1.15,1568,1590028018.158135
172.16.1.15,120.206.177.252,88,1590028018.158223
120.206.177.252,172.16.1.15,1568,1590028018.158361
172.16.1.15,120.206.177.252,88,1590028018.158430
120.206.177.252,172.16.1.15,1416,1590028018.158491
172.16.1.15,120.206.177.252,88,1590028018.158548
120.206.177.252,172.16.1.15,1568,1590028018.158617
172.16.1.15,120.206.177.252,88,1590028018.158927
120.206.177.252,172.16.1.15,1568,1590028018.159146
172.16.1.15,120.206.177.252,88,1590028018.159352
120.206.177.252,172.16.1.15,1568,1590028018.160628
172.16.1.15,120.206.177.252,88,1590028018.160732
120.206.177.252,172.16.1.15,1568,1590028018.161154
172.16.1.15,120.206.177.252,88,1590028018.161356
120.206.177.252,172.16.1.15,1568,1590028018.161487
172.16.1.15,120.206.177.252,88,1590028018.161916
120.206.177.252,172.16.1.15,1568,1590028018.162453
172.16.1.15,120.206.177.252,88,1590028018.162598
120.206.177.252,172.16.1.15,1568,1590028018.163440
172.16.1.15,120.206.177.252,88,1590028018.163523
120.206.177.252,172.16.1.15,1568,1590028018.163846
172.16.1.15,120.206.177.252,88,1590028018.164009
120.206.177.252,172.16.1.15,1568,1590028018.164174
172.16.1.15,120.206.177.252,88,1590028018.164354
120.206.177.252,172.16.1.15,1568,1590028018.164465
172.16.1.15,120.206.177.252,88,1590028018.164582
120.206.177.252,172.16.1.15,1568,1590028018.164692
172.16.1.15,120.206.177.252,88,1590028018.164794
120.206.177.252,172.16.1.15,1568,1590028018.164892
172.16.1.15,120.206.177.252,88,1590028018.175956
120.206.177.252,172.16.1.15,916,1590028018.218397
172.16.1.15,120.206.177.252,88,1590028018.227177
172.16.1.15,111.48.30.62,116,1590028018.229936
112.48.151.253,172.16.1.15,964,1590028018.232851
112.48.151.253,172.16.1.15,172,1590028018.236315
172.16.1.15,112.48.151.253,88,1590028018.241020
172.16.1.15,39.156.82.242,116,1590028018.243350
172.16.1.15,183.216.168.218,116,1590028018.246048
111.48.30.62,172.16.1.15,152,1590028018.258180
172.16.1.15,111.48.30.62,96,1590028018.259224
172.16.1.15,111.48.30.62,616,1590028018.268385
111.48.30.62,172.16.1.15,148,1590028018.275944
183.216.168.218,172.16.1.15,152,1590028018.279431
172.16.1.15,183.216.168.218,96,1590028018.283788
172.16.1.15,183.216.168.218,616,1590028018.286359
183.216.168.218,172.16.1.15,148,1590028018.289445
111.48.30.62,172.16.1.15,304,1590028018.292846
172.16.1.15,111.48.30.62,96,1590028018.296658
172.16.1.15,111.48.30.62,148,1590028018.299607
111.48.30.62,172.16.1.15,148,1590028018.299854
172.16.1.15,111.48.30.62,376,1590028018.299911
111.48.30.62,172.16.1.15,148,1590028018.299967
183.216.168.218,172.16.1.15,304,1590028018.300021
172.16.1.15,183.216.168.218,96,1590028018.300075
172.16.1.15,183.216.168.218,148,1590028018.300138
183.216.168.218,172.16.1.15,148,1590028018.300210
172.16.1.15,183.216.168.218,384,1590028018.300266
183.216.168.218,172.16.1.15,148,1590028018.300321
39.156.82.242,172.16.1.15,152,1590028018.300388
172.16.1.15,39.156.82.242,96,1590028018.300444
172.16.1.15,39.156.82.242,292,1590028018.300497
39.156.82.242,172.16.1.15,148,1590028018.300553
183.216.168.218,172.16.1.15,1308,1590028018.300607
183.216.168.218,172.16.1.15,148,1590028018.300663
111.48.30.62,172.16.1.15,1568,1590028018.300967
111.48.30.62,172.16.1.15,1568,1590028018.301044
111.48.30.62,172.16.1.15,1568,1590028018.301461
172.16.1.15,111.48.30.62,96,1590028018.301526
172.16.1.15,183.216.168.218,128,1590028018.301582
172.16.1.15,183.216.168.218,96,1590028018.301641
111.48.30.62,172.16.1.15,1568,1590028018.313485
111.48.30.62,172.16.1.15,1568,1590028018.313627
111.48.30.62,172.16.1.15,1568,1590028018.313755
111.48.30.62,172.16.1.15,1568,1590028018.314431
183.216.168.218,172.16.1.15,132,1590028018.314510
172.16.1.15,183.216.168.218,72,1590028018.314575
172.16.1.15,111.48.30.62,96,1590028018.314636
111.48.30.62,172.16.1.15,1184,1590028018.314712
172.16.1.15,203.119.169.17,128,1590028018.314777
172.16.1.15,203.119.169.17,96,1590028018.314836
203.119.169.17,172.16.1.15,132,1590028018.314896
203.119.169.17,172.16.1.15,132,1590028018.324071
39.156.82.242,172.16.1.15,1568,1590028018.332891
172.16.1.15,39.156.82.242,96,1590028018.333020
39.156.82.242,172.16.1.15,1568,1590028018.364012
172.16.1.15,39.156.82.242,96,1590028018.364146
39.156.82.242,172.16.1.15,568,1590028018.364352
172.16.1.15,39.156.82.242,96,1590028018.364431
172.16.1.15,111.48.30.62,96,1590028018.364524
127.0.0.1,127.0.0.1,108,1590028018.364611
127.0.0.1,127.0.0.1,144,1590028018.364806
127.0.0.1,127.0.0.1,72,1590028018.364849
127.0.0.1,127.0.0.1,124,1590028018.364936
203.119.169.17,172.16.1.15,132,1590028018.365004
172.16.1.15,203.119.169.17,72,1590028018.365042
172.16.1.15,39.156.82.242,224,1590028018.365099
172.16.1.15,112.48.151.253,192,1590028018.365181
39.156.82.242,172.16.1.15,148,1590028018.365250
172.16.1.15,39.156.82.242,744,1590028018.406478
112.48.151.253,172.16.1.15,148,1590028018.420976
39.156.82.242,172.16.1.15,148,1590028018.422613
172.16.1.15,117.169.15.124,360,1590028018.425887
117.169.15.124,172.16.1.15,148,1590028018.432584
172.16.1.15,112.48.151.253,192,1590028018.439222
112.48.151.253,172.16.1.15,148,1590028018.442738
112.48.151.253,172.16.1.15,1568,1590028018.445909
112.48.151.253,172.16.1.15,232,1590028018.463306
172.16.1.15,112.48.151.253,88,1590028018.470500
112.48.151.253,172.16.1.15,172,1590028018.476535
39.156.82.242,172.16.1.15,424,1590028018.479361
172.16.1.15,39.156.82.242,96,1590028018.483251
117.169.15.124,172.16.1.15,1568,1590028018.492713
117.169.15.124,172.16.1.15,1568,1590028018.499359
117.169.15.124,172.16.1.15,208,1590028018.518685
172.16.1.15,117.169.15.124,96,1590028018.537806
117.169.15.124,172.16.1.15,1568,1590028018.539762
117.169.15.124,172.16.1.15,1568,1590028018.549404
117.169.15.124,172.16.1.15,1568,1590028018.559530
117.169.15.124,172.16.1.15,1568,1590028018.569432
117.169.15.124,172.16.1.15,1568,1590028018.576885
117.169.15.124,172.16.1.15,1568,1590028018.583791
117.169.15.124,172.16.1.15,1568,1590028018.589227
117.169.15.124,172.16.1.15,1568,1590028018.602555
39.156.82.242,172.16.1.15,720,1590028018.602864
172.16.1.15,39.156.82.242,96,1590028018.606187
112.48.151.253,172.16.1.15,1020,1590028018.609486
